"Country4","Hemisphere","Prevalence","Country_cfr","Country_prev","Region","Latitude","Population","Cases_31MR","Deaths_31MR","Cases_30JN","Deaths_30JN","Cases_30S","Deaths_30S","GDP_PC","EDR","Density","vitd","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept"
"United Arab Emirates","N",4926,"United Arab Emirates (0.6)","United Arab Emirates (4926)","Middle East & North Africa",23.424076,"9878903",664,6,48667,315,94190,419,"38141.85",17.7,"135.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","N",4203,"United Kingdom (14.2)","United Kingdom (4203)","Europe & Central Asia",24.54817255,"67852992",38815,2457,285216,40479,455846,42233,"41064.13",27.8,"274.71",47.4,58,78.5,115,157,193.5,185,192,183.5,139
"Uruguay","S",270,"Uruguay (2.9)","Uruguay (270)","Latin America & Caribbean",-32.5228,"3472627",338,1,936,27,2046,48,"15387.14",31.5,"19.71",NA,294.9,230.6,222.8,179.6,164.2,129.7,139.7,164.4,182.3
"United States of America","N",7956,"United States of America (4.9)","United States of America (7956)","North America",40,"330822304",192177,5278,2631894,127831,7222881,207227,"57951.58",28.3,"35.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan","N",254,"Uzbekistan (0.3)","Uzbekistan (254)","Europe & Central Asia",41.377491,"33421893",172,2,8503,26,56717,470,"2567.8",43.4,"77.47",NA,117.8,127.1,164.3,216,303.8,363,384.4,365.8,300
"Venezuela","N",205,"Venezuela (0.9)","Venezuela (205)","Latin America & Caribbean",6.4238,"28443061",135,3,5832,51,75122,628,"0",42.1,"32.73",NA,264.7,248.25,260.8,220,212.95,218,255.9,248,242.75
"Vietnam","N",4,"Vietnam (0)","Vietnam (4)","East Asia & Pacific",14.058324,"97255746",212,0,355,0,1094,35,"2192.21",33.6,"308.13",80.6,178.25,168,190.5,185,203.5,182.25,196.25,175,161.75
"Zambia","S",87,"Zambia (1.5)","Zambia (87)","Sub-Saharan Africa",-13.133897,"18329866",35,0,1594,24,14759,332,"1280.58",81.7,"23.34",NA,180.8333333,168.9333333,221.1333333,254,286.2333333,278,300.7,306.9,289
"Zimbabwe","S",40,"Zimbabwe (0)","Zimbabwe (40)","Sub-Saharan Africa",-19.015438,"14841813",8,0,591,0,7838,0,"1464.58",76.1,"37.32",100,230.95,201.6,241.8,250.5,274.35,265.5,283.65,300.7,291
"Dominica","N",250,"Dominica (0)","Dominica (250)","Latin America & Caribbean",15.415,"71970",12,0,18,0,30,0,"8080.97",42.2,"95.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grenada","N",204,"Grenada (0)","Grenada (204)","Latin America & Caribbean",12.1165,"112475",9,0,23,0,24,0,"9628.35",35.8,"327.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","S",29,"Mozambique (0.7)","Mozambique (29)","Sub-Saharan Africa",-18.665695,"31163434",8,0,889,6,8728,61,"428.93",83,"37.51",NA,248,226,248,240,248,240,248,248,248
"Syria","N",16,"Syria (3.2)","Syria (16)","Middle East & North Africa",34.802075,"17456890",10,2,279,9,4200,200,"#NAME?",47.8,"#NAME?",24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Timor-Leste","S",18,"Timor-Leste (0)","Timor-Leste (18)","East Asia & Pacific",-8.874217,"1315933",1,0,24,0,28,0,"1353.75",78.7,"85.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize","N",60,"Belize (8.3)","Belize (60)","Latin America & Caribbean",17.1899,"396910",3,0,24,2,1992,27,"4818.4",44.4,"16.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laos","N",3,"Laos (0)","Laos (3)","East Asia & Pacific",19.85627,"7265262",9,0,19,0,23,0,"2308.8",50.1,"30.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Libya","N",120,"Libya (2.9)","Libya (120)","Middle East & North Africa",26.3351,"6862224",10,0,824,24,34525,551,"4035.19",41,"3.8",52.8,192.9,203,234.75,251,317.15,319.5,378.65,358.9,279.5
NA,"N",NA,"NA (0.3)","#VALUE!","Middle East & North Africa",31.9522,NA,119,1,2428,8,39899,311,"3527.61",NA,"758.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea-Bissau","N",842,"Guinea-Bissau (1.5)","Guinea-Bissau (842)","Sub-Saharan Africa",11.8037,"1963230",8,0,1654,24,2324,39,"661.46",76,"66.65",85.3,248,226,279,270,248,210,186,155,180
"Mali","N",108,"Mali (5.3)","Mali (108)","Sub-Saharan Africa",17.570692,"20189289",28,2,2181,116,3118,131,"780.72",93.1,"15.64",NA,277.7666667,259.5333333,276.6666667,249.3333333,263.9666667,244.7666667,239.7333333,232.2,237.5333333
"St. Kitts and Nevis","N",282,"St. Kitts and Nevis (0)","St. Kitts and Nevis (282)","North America",17.357822,"53164",8,0,15,0,19,0,"18810.49",NA,"201.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kosovo","N",NA,"Kosovo (1.8)","#VALUE!","Europe & Central Asia",42.602636,NA,106,1,2799,49,15620,625,"3780",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myanmar","N",5,"Myanmar (2)","Myanmar (5)","East Asia & Pacific",21.9162,"54375747",15,1,299,6,13373,310,"1266.55",37.3,"82.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","S",97,"Botswana (0.4)","Botswana (97)","Sub-Saharan Africa",-22.3285,"2346847",4,1,227,1,3172,16,"7243.87",53.8,"3.98",77.1,273.5333333,249.5,278.1333333,274.8333333,303.4,288.6666667,307.1333333,321.5333333,309.4666667
"Burundi","S",14,"Burundi (0.6)","Burundi (14)","Sub-Saharan Africa",-3.3731,"11853218",2,0,170,1,508,1,"282.19",86.4,"435.18",NA,167.4,158.2,176.7,165,210.8,255,272.8,251.1,213
"Sierra Leone","N",184,"Sierra Leone (4.1)","Sierra Leone (184)","Sub-Saharan Africa",8.460555,"7960641",1,0,1462,60,2231,72,"501.42",71.1,"105.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malawi","S",64,"Malawi (1.1)","Malawi (64)","Sub-Saharan Africa",-13.2543,"19078629",0,0,1224,14,5773,179,"315.78",79.1,"192.44",86,173.6,164.9666667,196.3333333,210,243.8666667,240,252,281.0666667,288
"S. Sudan","N",179,"S. Sudan (1.9)","S. Sudan (179)","Sub-Saharan Africa",6.877,"11181121",0,0,2007,38,2704,49,"0",74.7,"0",51.1,294.5,253.75,240.25,211.5,248,231,179.8,203.05,217.5
"W. Sahara","N",0,"#VALUE!","W. Sahara (0)","Sub-Saharan Africa",24.2155,"595825",0,0,0,0,0,0,"#NAME?",39.2,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"São Tomé and Principe","N",3264,"Sao Tome and Principe (1.8)","São Tomé and Principe (3264)","Sub-Saharan Africa",0.1864,"218753",0,0,714,13,911,15,"1700.05",75.6,"219.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen","N",39,"Yemen (26.9)","Yemen (39)","Middle East & North Africa",15.552727,"29759172",0,0,1158,312,2034,587,"1138.68",66.7,"53.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comoros","S",349,"Comoros (2.3)","Comoros (349)","Sub-Saharan Africa",-11.6455,"867725",0,0,303,7,479,7,"1273.06",67.4,"447.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan","N",620,"Tajikistan (0.9)","Tajikistan (620)","Europe & Central Asia",38.861,"9515811",0,0,5900,52,9769,76,"802.52",62.6,"65.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","S",13,"Lesotho (0)","Lesotho (13)","Sub-Saharan Africa",-29.61,"2140653",0,0,27,0,1595,36,"1043.57",51.3,"69.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greenland","N",0,"Greenland (0)","Greenland (8)","Europe & Central Asia",71.7069,"2140653",0,0,0,0,0,0,"48181.87",NA,"0.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
