"Country4","Hemisphere","Prevalence","Country_cfr","Country_prev","Region","Latitude","Population","Cases_31MR","Deaths_31MR","Cases_30JN","Deaths_30JN","Cases_30S","Deaths_30S","GDP_PC","EDR","Density","vitd","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept"
"Ethiopia","N",51,"Ethiopia (1.8)","Ethiopia (51)","Sub-Saharan Africa",9.145,"114669653",26,0,5846,103,75368,1198,"717.12",70.6,"109.22",46.5,281.95,261.6,263.95,245.1,260.1,193.05,116.85,125.1,193.35
"Fiji","S",20,"Fiji (0)","Fiji (20)","East Asia & Pacific",-17.7134,"895837",5,0,18,0,32,2,"5651.32",44.5,"48.36",75.9,192.2,178,170.5,153,145.7,141,136.4,142.6,135
"Finland","N",1302,"Finland (4.5)","Finland (1302)","Europe & Central Asia",61.92411,"5539940",1418,17,7214,328,9992,344,"43784.28",25.8,"18.15",67.7,38,70,138,194,284,297,291,238,150
"France","N",3130,"France (14.6)","France (3130)","Europe & Central Asia",8.308854091,"65260368",52278,3526,204244,29846,605893,31978,"37037.37",28.7,"122.3",60,106.5,117.5,172,205.5,243.5,264,289,269.5,211
"Gabon","S",2429,"Gabon (0.8)","Gabon (2429)","Sub-Saharan Africa",-0.8037,"2220348",16,1,5394,42,8766,54,"6984.45",62.9,"8.22",110,162.8,168.8,165.7,164.15,153.65,143.45,141.15,112.85,110.8
"Gambia","N",20,"Gambia (4.1)","Gambia (20)","Sub-Saharan Africa",13.4432,"2409532",4,1,49,2,3579,112,"690.78",82.1,"225.31",60.6,279,282,310,300,310,270,186,186,180
"Georgia","N",233,"Georgia (1.6)","Georgia (233)","Europe & Central Asia",42.3154,"3989847",110,0,928,15,6192,39,"4062.17",31.3,"65.2",NA,99,102,142,171,213,249,256,248,206
"Germany","N",2333,"Germany (4.6)","Germany (2333)","Europe & Central Asia",51.165691,"83759426",71808,775,195418,8990,292913,9495,"42107.52",21.7,"237.31",50.1,48.5,77,121,168.5,215.5,220.5,225,215,156
"Ghana","N",572,"Ghana (0.6)","Ghana (572)","Sub-Saharan Africa",7.9465,"31007405",161,5,17741,112,46626,301,"1931.39",62.2,"130.82",74.1,223.0666667,216.3,224,214.3333333,223.2333333,169.4333333,142.5666667,123.6666667,149.0666667
"Greece","N",327,"Greece (5.6)","Greece (327)","Europe & Central Asia",39.0742,"10427500",1314,49,3409,192,18475,391,"18116.46",21.3,"83.27",47.3,157,163.5,198.5,232.5,311.5,357.5,384.5,364,280
"Guatemala","N",1012,"Guatemala (4.3)","Guatemala (1012)","Latin America & Caribbean",15.7835,"17882519",38,1,18096,773,91746,3246,"4173.3",54.1,"152.55",53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","N",412,"Guinea (0.6)","Guinea (412)","Sub-Saharan Africa",9.9456,"13095550",22,0,5391,33,10652,66,"732.29",79.7,"50.52",NA,242.5,230,250,221,221,184.5,139,123,163
"Guyana","N",312,"Guyana (4.9)","Guyana (312)","Latin America & Caribbean",4.860416,"786201",12,2,245,12,2894,80,"5811.38",42.5,"3.96",NA,201,208.6,219.7,197.9,178.8,156.7,201.6,233.7,229.8
"Haiti","N",525,"Haiti (1.8)","Haiti (525)","Latin America & Caribbean",18.9712,"11389143",15,0,5975,105,8766,229,"1265.99",52.1,"403.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vatican","N",14981,"Vatican (0)","Vatican (14981)","Europe & Central Asia",41.9029,"801",6,0,12,0,12,0,"#NAME?",NA,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","N",1978,"Honduras (2.5)","Honduras (1978)","Latin America & Caribbean",15.2,"9889121",141,7,19558,497,76900,2353,"2342.58",47.5,"85.69",NA,170.5,192.1,217,234,213.9,192,201.5,217,174
"Hungary","N",430,"Hungary (14.1)","Hungary (430)","Europe & Central Asia",47.1625,"9662523",492,16,4155,585,26461,765,"13090.51",22,"107.98",48.4,62,93,137,177,234,250,271,255,187
"Iceland","N",5348,"Iceland (0.5)","Iceland (5348)","Europe & Central Asia",64.9631,"341036",1135,2,1824,10,2728,10,"61466.8",29.9,"3.52",57,20,60,109,164,201,174,168,155,120
"India","N",425,"India (3)","India (425)","South Asia",20.593684,"1378715135",1397,35,585481,17400,6312584,98678,"1732.56",38.9,"454.94",67.4,237.5,230.725,252.55,259.275,256.85,151.3,111.1,117.95,161.075
"Indonesia","S",206,"Indonesia (5.1)","Indonesia (206)","East Asia & Pacific",-0.7893,"273247624",1528,136,56385,2876,287008,10740,"3562.85",38.3,"147.75",NA,189.1,180.8,238.7,255,260.4,255,282.1,294.5,300.7
"Iran","N",2714,"Iran (4.8)","Iran (2714)","Middle East & North Africa",32.427908,"83889077",44605,2898,227662,10817,457219,26169,"5253.42",36,"50.22",45,137.2,151.1,186,219.1,279.8,328.7,336.6,336.8,300.5
"Iraq","N",1224,"Iraq (4)","Iraq (1224)","Middle East & North Africa",33.223191,"40130509",694,50,49109,1943,362981,9181,"4777.2",64.1,"88.53",NA,192.2,203.3,244.9,255,300.7,348,347.2,353.4,315
"Ireland","N",5164,"Ireland (6.8)","Ireland (5164)","Europe & Central Asia",53.1424,"4932505",3235,71,25473,1736,36155,1804,"63197.08",32.3,"70.65",56.4,59,75,109,160,195,179,164,157,129
"Israel","N",2766,"Israel (1.3)","Israel (2766)","Middle East & North Africa",31.046051,"9197590",5717,21,25438,327,247411,1604,"37321.62",46.6,"410.48",51.9,192.2,200.1,235.6,270,328.6,357,368.9,356.5,300
"Italy","N",3978,"Italy (14.5)","Italy (3978)","Europe & Central Asia",41.87194,"60469746",105792,12428,240578,34767,314861,35894,"30939.71",20.4,"205.42",45,90,114.5,159.5,189,237.5,264,308.5,274.5,211.5
"Jamaica","N",237,"Jamaica (1.4)","Jamaica (237)","Latin America & Caribbean",18.1096,"2959976",36,1,702,10,6482,107,"4843.34",34.6,"270.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japan","N",147,"Japan (5.2)","Japan (147)","East Asia & Pacific",36.204824,"126510637",2255,67,18615,972,83591,1575,"38761.82",21,"347.07",63.9,138.5,134.9,154.85,176.7,183.1,156.6,155.65,170,140.7
"Jordan","N",111,"Jordan (0.8)","Jordan (111)","Middle East & North Africa",31.24,"10193504",274,5,1132,9,11825,61,"4176.59",52,"112.14",27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan","N",1189,"Kazakhstan (0.8)","Kazakhstan (1189)","Europe & Central Asia",48.0196,"18755108",343,2,22308,188,140707,2078,"7714.84",46.3,"6.77",NA,110.5,133,169.5,216,271,308,321,294,237.5
"Kenya","S",119,"Kenya (2.3)","Kenya (119)","Sub-Saharan Africa",-0.0236,"53650862",59,1,6366,148,38529,711,"1410.53",65.5,"90.3",70.3,282.025,259.575,270.45,245.25,245.7,229.5,218.55,234.825,254.25
"South Korea","N",251,"South Korea (2.2)","South Korea (251)","East Asia & Pacific",35.907757,"51265201",9786,162,12850,282,23889,415,"29288.87",17.5,"529.36",45.7,199,182.5,193,210,221.7,179.7,165.8,200.9,167.2
"Kuwait","N",10833,"Kuwait (0.8)","Kuwait (10833)","Middle East & North Africa",29.31166,"4264401",289,0,46195,354,105182,610,"27653.07",28.4,"232.17",30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyzstan","N",845,"Kyrgyzstan (1.1)","Kyrgyzstan (845)","Middle East & North Africa",41.20438,"6513579",107,0,5506,61,46669,1064,"#NAME?",52.1,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","N",592,"Latvia (2.7)","Latvia (592)","Europe & Central Asia",56.8796,"1887954",398,0,1118,30,1824,37,"14315.79",26.1,"30.99",NA,31,62,127,183,264,288,264,229,153
"Lebanon","N",260,"Lebanon (1.9)","Lebanon (260)","Middle East & North Africa",33.8547,"6828121",470,12,1778,34,39634,367,"7629.89",37.2,"669.49",25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liberia","N",155,"Liberia (4.6)","Liberia (155)","Sub-Saharan Africa",6.428055,"5045496",3,0,780,36,1343,82,"714.62",71.7,"50.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","N",2151,"Liechtenstein (1.2)","Liechtenstein (2151)","Europe & Central Asia",47.14,"38118",68,0,82,1,118,1,"165629.19",NA,"236.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","N",667,"Lithuania (4.3)","Lithuania (667)","Europe & Central Asia",55.1694,"2725434",537,8,1817,78,4693,92,"14998.13",24.2,"44.72",NA,32,57,121,179,252,246,260,237,154
"Luxembourg","N",6879,"Luxembourg (2.6)","Luxembourg (6879)","Europe & Central Asia",49.8153,"624975",2178,23,4299,110,8509,124,"104278.39",22.2,"250.19",NA,43,82,118,165,208,210,232.5,208,159
"Madagascar","S",80,"Madagascar (0.9)","Madagascar (80)","Sub-Saharan Africa",-18.766947,"27617161",57,0,2214,20,16408,230,"475.96",70.5,"45.14",NA,221.5833333,197.85,220.2,238.4166667,248.7666667,225.15,232.6333333,249.2333333,264.5
"Malaysia","N",267,"Malaysia (1.4)","Malaysia (267)","East Asia & Pacific",4.210484,"32325930",2766,43,8639,121,11224,136,"9817.74",33.8,"95.96",44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maldives","N",4375,"Maldives (0.4)","Maldives (4375)","South Asia",3.2028,"539599",18,0,2361,9,10291,34,"9209.24",25.5,"1718.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","N",1518,"Malta (1.3)","Malta (1518)","Middle East & North Africa",35.9375,"441436",169,0,670,9,3058,35,"25617.83",22.4,"1514.47",NA,169,178,227,254,310,337,377,352,270
"Mauritania","N",941,"Mauritania (3)","Mauritania (941)","Sub-Saharan Africa",21.0079,"4636938",6,1,4363,129,7502,161,"1536.85",69.5,"4.27",NA,269,249,301,303,317.5,293.5,273,273,263.5
"Mauritius","S",268,"Mauritius (2.9)","Mauritius (268)","Sub-Saharan Africa",-20.348404,"1271577",143,5,341,10,381,10,"9681.62",23.7,"623.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico","N",1755,"Mexico (12.3)","Mexico (1755)","Latin America & Caribbean",23.6345,"128803542",1215,29,226089,27769,743216,77646,"8744.52",38.8,"64.91",65.4,187.5,201.75,246.5,233,256.75,232,241,230.25,195.25
"Moldova","N",4117,"Moldova (3.3)","Moldova (4117)","Europe & Central Asia",47.4116,"4034794",353,4,16613,545,53042,1320,"2880.44",22.2,"94.26",NA,75,80,125,187,254,283,299,295,226
"Monaco","N",2626,"Monaco (3.9)","Monaco (2626)","Europe & Central Asia",43.7333,"39216",52,1,103,4,218,2,"170028.66",NA,"0",NA,149.8,158.9,185.5,210,248.1,281.1,329.3,296.7,224.7
"Mongolia","N",67,"Mongolia (0)","Mongolia (67)","East Asia & Pacific",46.8625,"3273095",12,0,220,0,313,0,"3660.15",48.1,"2.04",NA,179.1,204.8,265.2,262.5,299.3,269,249.3,258.3,245.7
"Montenegro","N",873,"Montenegro (2.2)","Montenegro (873)","Europe & Central Asia",42.708678,"628059",109,2,548,12,10772,169,"7028.66",27.3,"46.26",NA,123,126,170,194,251,276,340,314,252
"Morocco","N",340,"Morocco (1.8)","Morocco (340)","Middle East & North Africa",31.7917,"36868513",617,36,12533,228,123653,2194,"2896.72",40.8,"80.73",44.5,217.2333333,213.4333333,259.2333333,275.0666667,304.1333333,312.6666667,322.9,305.4333333,263.8
"Namibia","S",81,"Namibia (0)","Namibia (81)","Sub-Saharan Africa",-22.9576,"2536326",11,0,205,0,11265,121,"4523.09",61.8,"2.97",NA,320.5,277,297,289.5,307,298,315.5,332,320
"Nepal","N",466,"Nepal (0.2)","Nepal (466)","South Asia",28.1667,"29084694",5,0,13564,29,77817,498,"777.15",44.1,"195.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","N",2947,"Netherlands (12.1)","Netherlands (2947)","Europe & Central Asia",21.40884,"17131422",12667,1040,50483,6132,125988,6457,"46007.85",24.4,"511.48",59.5,63,88,126,183,222,206,217,197,139
"New Zealand","S",305,"New Zealand (1.4)","New Zealand (305)","East Asia & Pacific",-40.9006,"5002100",647,1,1528,22,1848,25,"40105.61",30.3,"18.39",49.9,231.1666667,196.8,187.1,155.5666667,133.0333333,110.1,121.4333333,143.0333333,159.4666667
"Nicaragua","N",381,"Nicaragua (3.3)","Nicaragua (381)","Latin America & Caribbean",12.865416,"6616977",5,1,2519,83,5170,151,"2107.57",45.5,"53.73",NA,263.5,254.2,291.4,276,229.4,186,151.9,195.3,210
"Niger","N",45,"Niger (6.2)","Niger (45)","Sub-Saharan Africa",17.607789,"24110413",27,3,1075,67,1197,69,"498.1",104.1,"17.72",NA,297.6,263.2,269.7,252,279,267,257.3,235.6,235.6
"Nigeria","N",125,"Nigeria (2.3)","Nigeria (125)","Sub-Saharan Africa",9.082,"205612176",135,2,25694,590,58848,1112,"2176",80.9,"215.07",87.1,252.26,238.7,241.12,224.6,231.94,207,171.04,149.5,181.8
"Macedonia","N",3040,"Macedonia (4.8)","Macedonia (3040)","Europe & Central Asia",41.6086,"2083382",329,9,6334,302,17977,739,"5129.16",23.6,"82.59",NA,87,113,161,198,245,276,323,305,248
"Norway","N",1639,"Norway (2.8)","Norway (1639)","Europe & Central Asia",60.472,"5417258",4641,39,8879,250,14027,274,"70459.18",26.5,"14.55",65,20.66666667,54.66666667,110.6666667,161.6666667,208,220,206,175.6666667,107.3333333
"Oman","N",7867,"Oman (0.4)","Oman (7867)","Middle East & North Africa",21.512583,"5093172",192,1,40070,176,98585,935,"14618.73",30,"15.6",NA,268.6,244.8,278.3,292.5,347.4,325.7,277.7,278.6,303.9
"Pakistan","N",968,"Pakistan (2.1)","Pakistan (968)","South Asia",30.3753,"220462432",2118,27,213470,4395,312806,6484,"1368.45",57.2,"275.29",46.9,244.75,232.2,258.7,277,303.7,250.4,191.25,191.3,242.2
"Panama","N",7788,"Panama (1.9)","Panama (7788)","Latin America & Caribbean",8.538,"4308096",1181,30,33550,631,112595,2372,"14343.96",40.8,"56.19",NA,228.9,245.2,183.9,173.1,108.5,116.3,106.1,118.1,99.2
"Papua New Guinea","S",1,"Papua New Guinea (0)","Papua New Guinea (1)","East Asia & Pacific",-6.314993,"8930081",1,0,11,0,534,7,"2509.63",57.4,"19",NA,182,158,184,200,211,200,203,222,213
"Paraguay","S",312,"Paraguay (0.8)","Paraguay (312)","Latin America & Caribbean",-23.4425,"7124097",65,3,2221,17,40758,857,"5319.41",49.9,"17.51",NA,276,246,254,228,205,165,195,223,204
"Peru","S",8662,"Peru (3.4)","Peru (8662)","Latin America & Caribbean",-9.19,"32927196",1065,30,285213,9677,811768,32396,"6205",37.1,"24.99",NA,201.15,179.15,192.05,239,202.35,170.8,160,171.15,167.15
"Philippines","N",343,"Philippines (3.4)","Philippines (343)","East Asia & Pacific",12.879721,"109439758",2084,88,37514,1266,311694,5504,"3073.65",46.6,"357.69",NA,176.7,197.8,225.8,258,222.7,162,132.8,132.8,132
"Poland","N",909,"Poland (4.3)","Poland (909)","Europe & Central Asia",51.9194,"37850312",2311,33,34393,1463,91514,2513,"12447.44",23,"124.02",30.6,43,59,115,150,211,237,226,214,153
"Portugal","N",4132,"Portugal (3.7)","Portugal (4132)","Europe & Central Asia",39.3999,"10199336",7443,160,42141,1576,75542,1971,"19978.4",20.3,"112.26",NA,143,157,208,234,291,303,353,344,261
"Qatar","N",33407,"Qatar (0.1)","Qatar (33407)","Middle East & North Africa",25.3548,"2876244",781,2,96088,113,125760,214,"57163.08",16.1,"239.59",68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romania","N",1401,"Romania (6.1)","Romania (1401)","Europe & Central Asia",45.9432,"19248782",2245,82,26970,1651,127572,4825,"9548.59",23.8,"84.63",NA,71,85,140,186,245,267,288,282,225
"Russia","N",4433,"Russia (1.4)","Russia (4433)","Europe & Central Asia",61.52401,"145928826",2337,17,646929,9306,1170799,20630,"8704.9",27.8,"8.82",39.7,74.5,108.3,178.9125,215.875,241.0125,242,253.6125,216,170.75
"Rwanda","S",79,"Rwanda (0.2)","Rwanda (79)","Sub-Saharan Africa",-1.9403,"12919074",75,0,1025,2,4840,29,"745.34",68.8,"498.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Lucia","N",0,"#VALUE!","Saint Lucia (0)","Latin America & Caribbean",13.9094,"183550",0,0,0,0,0,0,"#NAME?",25,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
